X Coordinate,Y Coordinate,Time from first Touch,three -1s means the user lifted their finger,three -2s means the user went to the wrong point on the NEXT coordinate
471,339,0
471,322,117
471,313,150
471,307,167
471,298,183
472,293,200
472,287,233
472,285,250
472,282,267
472,278,283
472,275,300
472,269,300
472,265,317
471,259,333
470,248,367
469,238,383
468,232,400
468,228,417
467,224,433
467,222,450
467,220,467
467,218,483
467,217,500
467,216,517
467,215,567
467,214,600
468,212,600
469,210,633
469,209,650
470,209,900
472,207,933
476,205,950
481,202,967
490,196,983
497,192,1017
502,188,1017
510,183,1033
516,180,1050
524,175,1067
531,171,1100
541,165,1100
548,161,1133
556,154,1150
561,150,1167
569,144,1183
575,140,1200
582,136,1200
592,130,1217
598,126,1233
605,122,1250
611,120,1283
619,115,1300
624,113,1317
630,110,1317
636,107,1333
639,106,1350
642,104,1367
645,104,1383
647,103,1400
650,102,1417
651,101,1433
653,100,1450
654,100,1483
655,100,1517
655,101,2050
653,103,2067
652,104,2083
649,107,2100
647,109,2117
643,112,2133
636,118,2150
630,123,2167
619,133,2183
611,141,2200
603,147,2217
595,154,2233
590,158,2250
586,162,2267
583,164,2283
578,168,2300
573,171,2317
565,174,2333
553,178,2350
542,179,2350
514,181,2367
481,180,2400
435,178,2400
414,177,2417
397,177,2433
380,176,2450
362,172,2483
347,166,2500
332,159,2500
315,151,2533
307,146,2533
302,141,2550
303,141,2750
306,143,2783
307,143,2800
307,144,2817
304,145,2833
298,146,2833
281,146,2850
262,145,2867
233,142,2883
217,140,2900
197,138,2917
186,137,2933
178,137,2967
167,136,2967
160,136,2983
150,135,3000
144,135,3017
135,135,3033
130,135,3050
125,134,3067
121,134,3083
119,134,3117
115,133,3133
112,132,3150
109,132,3167
107,132,3183
106,132,3183
105,132,3200
104,132,3217
103,132,3250
102,132,3267
101,132,3333
100,133,3367
99,134,3383
99,136,3400
98,137,3417
96,139,3450
95,141,3450
94,143,3483
93,145,3483
92,148,3500
91,150,3517
91,152,3533
90,155,3550
89,158,3567
88,162,3583
87,165,3600
86,168,3617
86,170,3633
86,172,3650
86,174,3667
86,175,3683
86,176,3717
86,177,3733
87,180,3900
90,186,3933
94,194,3950
101,211,3967
105,221,3983
109,230,4000
115,242,4017
120,251,4017
127,264,4033
133,274,4050
143,288,4067
148,296,4083
158,308,4100
165,315,4117
172,322,4133
185,334,4150
194,342,4167
205,350,4183
210,355,4200
214,359,4217
215,360,4233
216,362,4250
218,363,4267
220,363,4283
221,364,4317
222,365,4317
223,366,4350
225,367,4367
227,368,4383
237,371,4400
245,375,4400
256,378,4433
261,379,4450
267,378,4467
270,377,4483
274,376,4500
278,373,4517
280,371,4517
282,369,4533
286,367,4550
289,365,4567
292,363,4583
297,361,4600
306,358,4617
322,355,4633
336,353,4667
343,352,4683
354,349,4683
365,346,4700
380,340,4717
398,332,4733
405,330,4750
411,326,4767
412,324,4783
414,324,5017
419,325,5033
438,329,5050
456,334,5067
478,340,5083
489,341,5100
497,342,5117
506,342,5117
512,342,5133
522,343,5150
532,344,5167
545,348,5200
552,350,5217
561,353,5233
567,355,5250
572,357,5267
580,360,5283
585,362,5300
589,363,5317
592,364,5333
596,365,5333
599,365,5350
605,366,5383
611,366,5400
618,367,5417
625,368,5433
629,368,5450
633,368,5467
635,368,5467
637,368,5500
641,368,5500
644,368,5533
648,367,5550
650,367,5567
655,366,5583
659,365,5600
663,365,5600
670,364,5617
674,363,5633
679,363,5650
682,363,5683
684,363,5700
686,363,5717
687,363,5733
688,363,5750
689,363,5783
690,363,5800
690,362,5817
689,361,7067
688,361,7067
683,360,7100
673,359,7100
634,356,7117
595,352,7133
559,349,7150
523,348,7167
503,348,7183
467,345,7200
443,341,7217
412,332,7233
400,327,7250
393,325,7267
389,323,7283
388,322,7300
387,322,7317
386,322,7333
387,322,8100
392,317,8133
404,301,8133
436,257,8167
444,244,8167
448,237,8200
450,233,8200
451,232,8217
451,233,8233
450,236,8267
446,246,8283
443,251,8300
440,255,8317
438,258,8317
437,260,8333
436,261,8350
435,262,8367
434,262,9150
433,263,9200
431,266,9217
428,269,9233
422,276,9250
417,281,9267
412,286,9283
405,293,9300
400,298,9317
393,305,9333
388,309,9350
383,313,9350
379,316,9383
372,321,9383
365,324,9417
358,328,9433
348,332,9450
343,334,9467
336,337,9467
331,338,9483
326,339,9517
323,340,9517
320,340,9550
316,340,9567
314,340,9583
312,340,9600
311,340,9617
310,340,9633
309,340,9667
308,340,9683
307,340,9717
306,340,9733
307,340,10050
308,339,10067
309,338,10083
311,337,10100
312,336,10117
315,335,10133
317,334,10150
319,333,10167
320,332,10183
322,331,10200
326,330,10217
331,330,10233
347,330,10250
360,331,10267
383,332,10283
401,334,10300
422,335,10333
455,337,10350
478,338,10367
508,340,10383
526,342,10400
550,343,10417
563,343,10433
576,343,10433
590,343,10467
596,343,10483
602,343,10500
605,343,10517
610,344,10533
616,345,10550
623,346,10550
635,348,10567
641,349,10583
647,350,10600
650,350,10617
654,350,10633
655,350,10650
657,350,10667
658,350,10683
660,350,10700
662,350,10717
663,350,10733
663,349,10750
663,348,10767
662,347,10783
662,346,11750
660,345,11783
658,343,11800
654,341,11817
649,338,11833
642,335,11850
628,327,11867
615,319,11883
594,302,11900
583,293,11917
572,282,11933
566,276,11950
559,268,11967
544,253,11983
529,237,12000
499,207,12000
485,194,12033
466,178,12050
454,168,12067
441,158,12083
416,143,12100
399,133,12117
380,120,12117
371,113,12133
361,103,12167
357,96,12183
354,90,12200
349,84,12217
346,81,12233
343,78,12250
341,77,12267
339,76,12283
339,75,12633
336,73,12650
333,70,12667
327,66,12683
322,62,12700
316,58,12717
309,53,12733
305,50,12750
300,47,12767
298,46,12783
296,45,12817
295,44,12833
295,43,12833
294,43,12850
293,43,12867
293,45,13317
293,51,13333
294,56,13350
295,63,13367
295,66,13383
295,70,13400
295,71,13417
296,73,13433
298,74,13450
302,76,13467
319,77,13467
338,78,13500
365,77,13500
418,77,13517
457,81,13533
508,90,13550
532,95,13583
557,100,13600
571,102,13600
586,102,13617
595,102,13633
605,100,13650
620,100,13667
